;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
GEO (Labels);utiliz act. s.m b.16-24;utiliz act s.m f,16-24;utiliz act s.m b , 25-34;utiliz act s.mf,25-34;utiliz act s.m b,35-44;utiliz act s.m f,35-44;utiliz act s.m b ,45-54;utiliz act s.m f , 45-54;utiliz act. s.m b, niv mic studii;utiliz act s.m f,niv mic studii;utiliz act s.m b,studii sup;utiliz act s.m f,studii sup;disc pr politica b,16-24;disc pr politica f,16-24;disc pr politica b,25-34;disc pr politica f,25-34;disc pr politica b,35-44;disc pr politica f,35-44;disc pr politica b,45-54;disc pr politica f,45-54;disc pr politica b,niv std slab;disc pr politica f,niv std slab;disc pr politica b,std superioare;disc pr politica f,std superioare
Norway;98.53;97.52;90.48;99.38;88.57;96.71;89.72;95.54;88.37;93.3;88.33;96.32;16.18;12.4;14.88;17.9;25.71;22.37;23.83;12.87;18.52;15.79;21.42;17.72
Switzerland;95.63;96.62;78.78;92.85;74.56;82.73;66.3;73.35;76.68;74;63.97;72.46;17.15;13.61;17.09;13.04;20.58;12.07;15.36;12.27;18.5;10.66;19.26;12.1
United Kingdom;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
Bosnia and Herzegovina;93.83;97.97;89.94;90.33;83.64;87.99;73.32;84.55;47.8;43.43;82.24;89.59;14.67;18.36;12.14;16.56;11.62;15.72;12.32;8.65;2.11;1.91;18.32;22.25
Montenegro;100;95.02;93.44;97.46;92.11;96.21;82.11;86.67;89.12;70.7;86.32;97.35;17.36;21.58;23.86;20.7;26.62;23.29;19.91;22.79;12.21;0;32.6;24.82
North Macedonia;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
Albania;97.8;95.24;91.69;92.24;89.29;79.88;83.16;70.93;70.5;61.4;94.49;95.3;28.74;30.29;28.99;28.86;54.05;39.13;41.09;27.7;23.2;20.8;43.46;34.87
Serbia;94.97;99.02;91.46;97.29;90.1;92.47;84.37;87.67;81.07;80.33;82.92;88.34;1.19;0;7.9;5.33;4.22;3.6;1.42;5.07;5.11;3.62;6.59;5.72
Türkiye;97.11;93.52;94.93;90.91;90.45;84.65;85.7;77.72;86.01;75.17;90.73;94.14;16.45;14.73;18.84;16.75;19.69;13.3;16.85;9.64;13.95;7.64;22.33;19.99
Kosovo*;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
