Current;Val_Burs_Mc;VT_Mc;CP_Mc;ProfistBrut_Mc;Val_Burs_Chipotle;VT_Chipotle;CT_Chipotle;ProfitBrut_Chipotle;ActiveTot_Chipotle;ActivTot_Mc;Datorii_Mc;Datorii_Ch
3/31/2024;183.66;23222900;10642700;12580200;86.04;7547061;5840052;1707009;9204374;55182000;37339000;4540618
6/30/2024;218.22;23182000;9975000;13207000;78.57;8634652;6572533;2062119;8044362;56147000;34766000;4051625
9/30/2024;207.33;25495000;10931000;14564000;81.93;9871649;7285557;2586092;6927504;50435600;33319700;3731410
04.05.2025;221.6;25920000;11210000;14710000;67.44;11313853;8296161;3017692;6652958;53854300;30913500;3520314
